recovered,deaths,hospitalized_today,active,district,confirmed,isolation,total_hospitalized,observation
22090,83,9,1678,Kasaragod,23855,4395,256,4651
35049,193,51,3381,Kannur,38631,13171,479,13650
13295,47,50,2549,Wayanad,15892,8972,621,9593
77803,281,64,5538,Kozhikode,83636,21151,1025,22176
82843,319,63,5222,Malappuram,88394,69574,981,70555
41413,120,41,5211,Palakkad,46751,10375,720,11095
65719,315,112,6200,Thrissur,72242,21038,1253,22291
71943,298,102,7994,Ernakulam,80247,28700,1274,29974
12661,16,35,3158,Idukki,15838,7948,387,8335
42034,143,161,6518,Kottayam,48698,12317,1854,14171
51572,230,111,3847,Alappuzha,55670,5959,1048,7007
23186,47,105,4997,Pathanamthitta,28232,8291,1199,9490
52839,215,68,4221,Kollam,57290,11961,934,12895
76286,644,89,3238,Thiruvananthapuram,80235,21971,1229,23200
668733,2951,1061,63752,Total,735611,245823,13260,259083
