deaths,isolation,observation,active,confirmed,recovered,district,hospitalized_today,total_hospitalized
93,5794,6025,1692,26004,24214,Kasaragod,8,231
246,12470,12982,3572,45962,42125,Kannur,62,512
66,6775,7205,3686,22268,18515,Wayanad,76,430
371,21055,22045,6792,101307,94124,Kozhikode,87,990
380,20041,20599,4343,103140,98404,Malappuram,57,558
166,8876,9369,5279,53797,48344,Palakkad,44,493
381,20960,21855,5277,85388,79719,Thrissur,106,895
376,26656,28238,10450,103858,93008,Ernakulam,221,1582
31,8711,9225,4845,22198,17317,Idukki,54,514
178,14404,15769,6827,64885,57874,Kottayam,108,1365
290,10961,12075,3635,66502,62556,Alappuzha,82,1114
81,13265,14329,6445,42262,35728,Pathanamthitta,110,1064
257,10713,11613,4724,71203,66202,Kollam,101,900
727,21928,23227,4040,91158,86316,Thiruvananthapuram,169,1299
3643,202609,214556,71607,899932,824446,Total,1285,11947
