hospitalized_today,isolation,observation,total_hospitalized,district,active
13,4823,4865,42,Kasaragod,35
40,10412,10577,165,Kannur,85
2,3837,3849,12,Wayanad,8
25,8850,8912,62,Kozhikode,26
26,11491,11616,125,Malappuram,51
11,11030,11116,86,Palakkad,81
6,9521,9570,49,Thrissur,18
11,9479,9541,62,Ernakulam,15
1,4687,4690,3,Idukki,2
8,6466,6484,18,Kottayam,19
8,5009,5046,37,Alappuzha,21
10,4793,4814,21,Pathanamthitta,10
7,5931,5955,24,Kollam,15
18,7199,7301,102,Thiruvananthapuram,29
186,103528,104336,808,Total,415
