hospitalized_today,isolation,total_hospitalized,observation,district,active
6,5754,109,5863,Kasaragod,106
28,18753,282,19035,Kannur,157
3,3593,33,3626,Wayanad,34
53,16608,198,16806,Kozhikode,80
34,24892,329,25221,Malappuram,191
37,9521,214,9735,Palakkad,237
16,16899,159,17058,Thrissur,126
24,13256,208,13464,Ernakulam,153
5,4376,55,4431,Idukki,50
4,8736,95,8831,Kottayam,114
21,6964,166,7130,Alappuzha,154
30,5097,181,5278,Pathanamthitta,177
25,8982,198,9180,Kollam,183
26,18116,170,18286,Thiruvananthapuram,84
312,161547,2397,163944,Total,1846
