total_hospitalized,isolation,hospitalized_today,observation,district,active
550,3836,102,4386,Kasaragod,658
459,12058,76,12517,Kannur,473
148,2679,23,2827,Wayanad,175
536,11251,103,11787,Kozhikode,628
664,35535,72,36199,Malappuram,525
416,10316,45,10732,Palakkad,369
422,13512,47,13934,Thrissur,394
861,12934,126,13795,Ernakulam,863
307,4403,56,4710,Idukki,332
371,9227,86,9598,Kottayam,414
759,5647,44,6406,Alappuzha,781
284,4827,75,5111,Pathanamthitta,399
880,8111,132,8991,Kollam,856
2323,12846,290,15169,Thiruvananthapuram,2788
8980,147182,1277,156162,Total,9655
