active,isolation,district,total_hospitalized,hospitalized_today,confirmed,recovered,observation,deaths
1740,7155,Kasaragod,388,31,21553,19734,7543,75
3078,16319,Kannur,584,45,31858,28620,16903,154
1367,8461,Wayanad,688,43,10258,8869,9149,22
6456,21581,Kozhikode,1607,160,66541,59892,23188,186
7852,83789,Malappuram,1403,114,70030,61948,85192,220
5317,14703,Palakkad,1194,123,37232,31829,15897,82
6424,26510,Thrissur,1695,231,57649,50992,28205,228
8270,26322,Ernakulam,1495,94,63632,55137,27817,214
2531,14991,Idukki,472,53,11265,8720,15463,12
4337,14731,Kottayam,1769,196,34299,29865,16500,95
6050,8686,Alappuzha,1387,106,46242,40012,10073,162
2258,9471,Pathanamthitta,784,116,19795,17518,10255,18
3955,17326,Kollam,1073,93,46427,42301,18399,163
4250,27486,Thiruvananthapuram,1538,189,70926,66085,29024,540
63885,297531,Total,16077,1594,587707,521522,313608,2171
