recovered,isolation,confirmed,observation,active,district,deaths,hospitalized_today,total_hospitalized
24261,5778,26088,6017,1728,Kasaragod,93,17,239
42331,12614,46319,13131,3722,Kannur,246,65,517
18584,6620,22509,7051,3858,Wayanad,66,37,431
94718,20846,102065,21828,6951,Kozhikode,376,82,982
98934,20145,103544,20703,4215,Malappuram,382,100,558
48519,8771,53982,9287,5289,Palakkad,166,68,516
80147,20652,85724,21559,5184,Thrissur,381,127,907
93747,25659,104737,27207,10589,Ernakulam,377,103,1548
17694,8670,22503,9200,4772,Idukki,32,28,530
58162,14934,65402,16356,7056,Kottayam,178,224,1422
62855,11046,66862,12181,3689,Alappuzha,295,133,1135
36433,13222,42659,14318,6133,Pathanamthitta,85,59,1096
66397,11071,71686,11968,5011,Kollam,258,105,897
86670,22168,91511,23509,4037,Thiruvananthapuram,728,121,1341
829452,202196,905591,214315,72234,Total,3663,1269,12119
