observation,hospitalized_today,district,total_hospitalized,isolation,active
5026,5,Kasaragod,44,4982,45
10818,24,Kannur,161,10657,84
3977,1,Wayanad,13,3964,10
9270,25,Kozhikode,70,9200,28
11923,59,Malappuram,144,11779,44
11510,42,Palakkad,123,11387,89
9902,14,Thrissur,53,9849,18
9901,9,Ernakulam,63,9838,17
4802,2,Idukki,5,4797,2
6664,0,Kottayam,17,6647,19
5144,5,Alappuzha,28,5116,28
4925,4,Pathanamthitta,24,4901,13
6467,11,Kollam,35,6432,19
7503,28,Thiruvananthapuram,112,7391,29
107832,229,Total,892,106940,445
