district,hospitalized_today,total_hospitalized,observation,isolation,active
Kasaragod,3,111,5884,5773,111
Kannur,35,270,19928,19658,152
Wayanad,6,37,3553,3516,39
Kozhikode,34,180,17363,17183,89
Malappuram,34,348,26987,26639,218
Palakkad,30,240,10330,10090,260
Thrissur,10,157,17857,17700,142
Ernakulam,12,217,13574,13357,167
Idukki,6,56,4331,4275,48
Kottayam,18,106,6820,6714,120
Alappuzha,20,178,7224,7046,161
Pathanamthitta,18,184,5421,5237,166
Kollam,20,201,9464,9263,180
Thiruvananthapuram,35,178,19242,19064,86
Total,281,2463,167978,165515,1939
