total_hospitalized,district,observation,hospitalized_today,isolation,active
657,Kasaragod,4329,107,3672,643
502,Kannur,12300,62,11798,479
150,Wayanad,2811,29,2661,145
611,Kozhikode,11387,81,10776,653
649,Malappuram,36445,107,35796,523
437,Palakkad,10679,33,10242,399
441,Thrissur,13862,81,13421,388
892,Ernakulam,13529,119,12637,814
312,Idukki,4596,31,4284,377
418,Kottayam,9703,66,9285,459
835,Alappuzha,6606,146,5771,661
323,Pathanamthitta,4845,120,4522,366
886,Kollam,8918,70,8032,821
2284,Thiruvananthapuram,15138,185,12854,2881
9397,Total,155148,1237,145751,9609
