isolation,total_hospitalized,observation,hospitalized_today,district,recovered,deaths,active,confirmed
3565,878,4443,77,Kasaragod,7361,48,2476,9889
13598,1110,14708,165,Kannur,6365,42,3818,10228
3132,615,3747,97,Wayanad,2457,5,754,3216
20338,3248,23586,360,Kozhikode,10505,65,5546,16122
32017,2370,34387,318,Malappuram,15061,64,4990,20121
7202,1855,9057,204,Palakkad,6989,28,3462,10480
9586,2305,11891,354,Thrissur,7372,46,4537,11958
21356,2568,23924,322,Ernakulam,9830,61,5881,15780
8755,630,9385,92,Idukki,2516,3,943,3464
18349,2449,20798,226,Kottayam,6010,13,3703,9726
10016,3350,13366,408,Alappuzha,8755,35,4015,12809
6921,1115,8036,166,Pathanamthitta,5272,5,1972,7250
19359,2093,21452,317,Kollam,7429,48,4787,12267
24867,4184,29051,646,Thiruvananthapuram,21999,214,9828,32074
199061,28770,227831,3752,Total,117921,677,56712,175384
