observation,hospitalized_today,isolation,district,total_hospitalized,active
5297,19,5235,Kasaragod,62,63
11439,26,11255,Kannur,184,93
4174,4,4159,Wayanad,15,10
9875,33,9795,Kozhikode,80,32
12448,40,12295,Malappuram,153,52
12185,17,12054,Palakkad,131,105
10661,8,10606,Thrissur,55,25
10793,17,10732,Ernakulam,61,18
5019,3,5011,Idukki,8,3
7202,0,7185,Kottayam,17,22
5550,9,5513,Alappuzha,37,28
5412,10,5382,Pathanamthitta,30,19
6929,12,6886,Kollam,43,20
8313,12,8197,Thiruvananthapuram,116,36
115297,210,114305,Total,992,526
