isolation,observation,district,total_hospitalized,hospitalized_today,active
6481,6597,Kasaragod,116,11,112
20606,20911,Kannur,305,47,179
3584,3625,Wayanad,41,6,43
18556,18724,Kozhikode,168,43,88
27674,28065,Malappuram,391,55,224
10746,11031,Palakkad,285,45,261
18701,18875,Thrissur,174,25,153
13651,13866,Ernakulam,215,14,173
4483,4530,Idukki,47,2,46
7271,7390,Kottayam,119,13,121
7016,7206,Alappuzha,190,16,165
5302,5479,Pathanamthitta,177,20,165
9367,9584,Kollam,217,18,189
19685,19851,Thiruvananthapuram,166,20,96
173123,175734,Total,2611,335,2015
