isolation,total_hospitalized,observation,district,hospitalized_today,active
3478,650,4128,Kasaragod,36,642
11224,499,11723,Kannur,61,509
2531,166,2697,Wayanad,34,180
10302,868,11170,Kozhikode,257,712
34573,703,35276,Malappuram,99,594
10171,488,10659,Palakkad,75,445
12329,463,12792,Thrissur,82,450
12006,901,12907,Ernakulam,96,798
4248,360,4608,Idukki,75,357
9002,458,9460,Kottayam,66,563
5925,716,6641,Alappuzha,30,660
4262,354,4616,Pathanamthitta,40,399
7755,860,8615,Kollam,27,848
13092,2332,15424,Thiruvananthapuram,365,2936
140898,9818,150716,Total,1343,10093
