observation,active,total_hospitalized,district,recovered,hospitalized_today,deaths,isolation,confirmed
4678,2505,907,Kasaragod,7450,72,52,3771,10011
15168,4004,1162,Kannur,6489,129,42,14006,10538
3799,735,621,Wayanad,2520,74,5,3178,3260
23968,5814,3092,Kozhikode,11150,324,70,20876,17040
36689,4971,2560,Malappuram,15482,356,67,34129,20526
9707,3640,1834,Palakkad,7189,209,28,7873,10858
12016,4680,2328,Thrissur,7612,285,46,9688,12341
25297,6198,2693,Ernakulam,10050,340,61,22604,16317
9547,1021,656,Idukki,2552,65,3,8891,3578
20604,3791,2572,Kottayam,6132,238,16,18032,9939
13817,3913,3430,Alappuzha,9104,476,37,10387,13058
8004,1860,1124,Pathanamthitta,5422,173,5,6880,7288
19887,4946,2062,Kollam,7611,158,48,17825,12608
29269,9804,4079,Thiruvananthapuram,22505,356,217,25190,32560
232450,57882,29120,Total,121268,3255,697,203330,179922
