deaths,hospitalized_today,recovered,confirmed,isolation,district,observation,total_hospitalized,active
75,37,19945,21812,7906,Kasaragod,8287,381,1788
154,67,29058,32450,19270,Kannur,19802,532,3232
23,66,9154,10656,7609,Wayanad,8358,749,1479
188,196,61812,68106,21837,Kozhikode,23473,1636,6099
227,140,63490,71431,84483,Malappuram,85842,1359,7704
82,135,32546,38117,15251,Palakkad,16431,1180,5485
239,209,51690,58821,26420,Thrissur,28076,1656,6886
223,83,56589,64956,27007,Ernakulam,28507,1500,8133
12,67,8978,11717,13967,Idukki,14463,496,2725
101,307,30592,35327,12651,Kottayam,14513,1862,4632
172,164,41139,46932,8573,Alappuzha,9837,1264,5603
18,107,17826,20180,9475,Pathanamthitta,10286,811,2335
163,106,42751,47311,15475,Kollam,16454,979,4389
546,156,67088,71784,29677,Thiruvananthapuram,31168,1491,4100
2223,1840,532658,599600,299601,Total,315497,15896,64590
