observation,deaths,confirmed,active,hospitalized_today,total_hospitalized,isolation,recovered,district
4348,84,23988,1684,6,247,4101,22216,Kasaragod
10344,200,39253,3458,46,456,9888,35586,Kannur
9448,48,16491,2690,54,569,8879,13752,Wayanad
21745,288,85121,5506,89,1026,20719,79312,Kozhikode
68516,332,90025,5233,108,938,67578,84450,Malappuram
10359,125,47439,4887,79,626,9733,42420,Palakkad
21603,323,73569,5982,117,1161,20442,67256,Thrissur
30332,302,81926,8306,113,1213,29119,73306,Ernakulam
7927,16,16138,3028,26,331,7596,13091,Idukki
12694,147,50225,6920,105,1467,11227,43155,Kottayam
7112,232,56441,3968,93,996,6116,52220,Alappuzha
10204,48,29273,5444,78,1033,9171,23779,Pathanamthitta
12036,216,58402,4488,100,884,11152,53683,Kollam
22494,653,81159,3267,116,1139,21355,77171,Thiruvananthapuram
249162,3014,749450,64861,1130,12086,237076,681397,Total
