recovered,deaths,hospitalized_today,active,district,observation,confirmed,isolation,total_hospitalized
8176,56,134,3496,Kasaragod,4486,11732,3475,1011
7300,47,147,5199,Kannur,15677,12549,14402,1275
2758,5,92,1131,Wayanad,3774,3894,2946,828
12960,70,548,8001,Kozhikode,26235,21037,22858,3377
17875,73,246,6573,Malappuram,41685,24527,39327,2358
7998,38,150,4972,Palakkad,13529,13009,11824,1705
8563,55,363,6437,Thrissur,12802,15058,9947,2855
10967,72,210,9161,Ernakulam,27377,20208,24451,2926
2820,3,49,1233,Idukki,11208,4058,10540,668
6739,23,169,4727,Kottayam,20099,11489,17275,2824
10212,44,695,5409,Alappuzha,13997,15670,10083,3914
6063,6,121,2237,Pathanamthitta,8309,8307,7299,1010
8676,60,276,6788,Kollam,18960,15528,16957,2003
24037,239,399,12121,Thiruvananthapuram,28493,36433,24394,4099
135144,791,3599,77485,Total,246631,213499,215778,30853
