confirmed,hospitalized_today,isolation,district,total_hospitalized,active,deaths,observation,recovered
24322,5,3763,Kasaragod,214,1710,85,3977,22523
40260,48,11646,Kannur,485,3603,205,12131,36441
17301,39,8221,Wayanad,412,2591,50,8633,14659
87327,70,19658,Kozhikode,921,5119,297,20579,81896
91911,95,64494,Malappuram,971,5015,343,65465,86543
48468,72,9056,Palakkad,576,4824,135,9632,43502
75384,143,21682,Thrissur,1134,5690,333,22816,69352
84851,83,27637,Ernakulam,1249,8776,314,28886,75745
16862,25,7407,Idukki,306,3024,20,7713,13815
52265,149,11521,Kottayam,1325,6680,153,12846,45429
58075,144,5939,Alappuzha,1018,3860,240,6957,53954
31444,145,9425,Pathanamthitta,1195,6413,58,10620,24971
60207,92,9114,Kollam,839,4832,222,9953,55138
82575,113,19116,Thiruvananthapuram,1166,3237,661,20282,78608
771252,1223,228679,Total,11811,65374,3116,240490,702576
