isolation,deaths,confirmed,recovered,district,hospitalized_today,total_hospitalized,active,observation
5733,93,26588,24598,Kasaragod,3,254,1891,5987
12567,258,47991,43579,Kannur,38,523,4133,13090
6823,70,23517,20209,Wayanad,25,315,3237,7138
21523,394,105764,98672,Kozhikode,78,848,6677,22371
20608,385,106246,101966,Malappuram,97,462,3881,21070
9277,171,55340,51405,Palakkad,64,526,3755,9803
21442,394,88375,83315,Thrissur,98,928,4652,22370
25533,390,109167,98376,Ernakulam,99,1427,10375,26960
9532,33,23687,18976,Idukki,55,526,4673,10058
16766,183,68468,62299,Kottayam,151,1170,5980,17936
11367,303,69181,65097,Alappuzha,99,1144,3758,12511
13425,90,45318,39132,Pathanamthitta,102,794,6088,14219
10312,265,75057,68794,Kollam,91,783,5977,11095
22500,747,93654,88750,Thiruvananthapuram,149,1239,4080,23739
207408,3776,938353,865168,Total,1149,10939,69157,218347
