observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6388,791,Kasaragod,3752,28,1460,5597,5243,9
11612,1030,Kannur,2892,26,895,10582,3815,118
3031,239,Wayanad,1303,5,235,2792,1543,31
14838,1820,Kozhikode,4127,31,1773,13018,5936,212
47156,1720,Malappuram,7214,24,2495,45436,9739,185
10860,635,Palakkad,4037,3,710,10225,4751,24
10119,1320,Thrissur,3227,13,1478,8799,4720,169
17944,1582,Ernakulam,4268,37,2144,16362,6456,121
4359,247,Idukki,1469,3,285,4112,1758,13
15083,1269,Kottayam,2732,3,1489,13814,4224,66
9678,1764,Alappuzha,4203,15,1741,7914,5961,32
6080,831,Pathanamthitta,2570,3,900,5249,3474,23
14862,1419,Kollam,2980,20,1446,13443,4449,148
21726,3687,Thiruvananthapuram,11008,94,4875,18039,16003,288
193736,18354,Total,55782,305,21926,175382,78072,1439
