recovered,confirmed,deaths,district,hospitalized_today,total_hospitalized,isolation,active,observation
16126,18482,69,Kasaragod,36,490,4203,2283,4693
18866,24456,106,Kannur,101,1018,18867,5480,19885
5968,6931,12,Wayanad,69,585,7129,951,7714
37918,47025,131,Kozhikode,290,2498,24240,8970,26738
41109,51130,146,Malappuram,202,1666,58099,9867,59765
18242,25847,52,Palakkad,114,1188,15313,7552,16501
28477,38648,119,Thrissur,312,2555,20944,10048,23499
32313,44631,143,Ernakulam,98,2247,29883,12166,32130
5128,7144,9,Idukki,57,369,10991,2005,11360
17236,23049,46,Kottayam,199,1942,17487,5766,19429
23873,32148,96,Alappuzha,587,1760,10518,8165,12278
12274,14972,11,Pathanamthitta,121,1064,9267,2686,10331
26383,32728,107,Kollam,102,1453,14844,6232,16297
49081,57931,410,Thiruvananthapuram,333,2847,25168,8394,28015
332994,425122,1457,Total,2621,21682,266953,90565,288635
