observation,isolation,hospitalized_today,confirmed,active,total_hospitalized,deaths,recovered,district
7995,7592,32,21898,1799,403,75,20020,Kasaragod
19636,19124,61,32625,3108,512,154,29357,Kannur
8244,7543,49,10746,1453,701,23,9270,Wayanad
23463,21853,136,68587,5665,1610,190,62725,Kozhikode
85239,83913,133,72042,7806,1326,229,63997,Malappuram
15791,14659,128,38359,5245,1132,82,33028,Palakkad
28380,26754,152,59071,6471,1626,245,52349,Thrissur
28572,27090,111,65273,7930,1482,225,57107,Ernakulam
13260,12798,51,11766,2319,462,12,9433,Idukki
13123,11235,191,35570,4716,1888,104,30748,Kottayam
9727,8402,86,47207,5111,1325,174,41904,Alappuzha
10309,9474,100,20271,2283,835,18,17969,Pathanamthitta
16236,15318,81,47549,3994,918,163,43384,Kollam
31795,30339,170,72018,3994,1456,550,67422,Thiruvananthapuram
311770,296094,1481,602982,61894,15676,2244,538713,Total
