district,hospitalized_today,isolation,total_hospitalized,observation,active
Kasaragod,4,6817,112,6929,116
Kannur,45,22342,322,22664,204
Wayanad,2,3663,43,3706,39
Kozhikode,50,19189,188,19377,91
Malappuram,42,30709,387,31096,244
Palakkad,13,11130,297,11427,277
Thrissur,36,19009,202,19211,165
Ernakulam,27,13646,230,13876,180
Idukki,6,4421,54,4475,49
Kottayam,3,8080,113,8193,110
Alappuzha,6,6890,204,7094,169
Pathanamthitta,16,5200,190,5390,178
Kollam,16,9574,221,9795,193
Thiruvananthapuram,64,21206,218,21424,97
Total,330,181876,2781,184657,2112
