observation,district,hospitalized_today,total_hospitalized,isolation,active
3638,Kasaragod,34,650,2988,675
9894,Kannur,41,474,9420,545
2596,Wayanad,65,285,2311,205
10863,Kozhikode,81,719,10144,740
33769,Malappuram,78,820,32949,657
10467,Palakkad,69,477,9990,440
12524,Thrissur,75,468,12056,437
12313,Ernakulam,94,934,11379,795
4279,Idukki,33,349,3930,341
9541,Kottayam,31,521,9020,546
6890,Alappuzha,36,719,6171,691
4173,Pathanamthitta,125,355,3818,390
8803,Kollam,81,742,8061,722
14886,Thiruvananthapuram,274,2433,12453,2872
144636,Total,1117,9946,134690,10056
