confirmed,deaths,total_hospitalized,hospitalized_today,active,isolation,district,observation,recovered
26464,93,283,19,1880,5858,Kasaragod,6141,24485
47494,251,561,53,4018,12170,Kannur,12731,43205
23215,69,359,33,3607,6899,Wayanad,7258,19538
104831,391,922,98,6887,21212,Kozhikode,22134,97532
105276,384,475,116,3949,20400,Malappuram,20875,100929
54944,171,549,63,3982,9004,Palakkad,9553,50782
87547,393,959,100,4786,21645,Thrissur,22604,82355
107988,380,1462,135,10783,25830,Ernakulam,27292,96801
23452,32,467,11,4702,9537,Idukki,10004,18713
67545,183,1197,263,6234,16092,Kottayam,17289,61122
68612,300,1221,145,3934,11778,Alappuzha,12999,64355
44610,89,888,90,6434,13347,Pathanamthitta,14235,38079
74217,263,814,87,5793,11075,Kollam,11889,68141
92983,744,1325,117,3994,22545,Thiruvananthapuram,23870,88169
929178,3743,11482,1330,70983,207392,Total,218874,854206
