total_hospitalized,isolation,district,hospitalized_today,observation,active
81,5854,Kasaragod,1,5935,76
202,12605,Kannur,36,12807,114
13,4698,Wayanad,2,4711,10
114,11287,Kozhikode,37,11401,38
217,13580,Malappuram,44,13797,57
160,13643,Palakkad,36,13803,138
75,13006,Thrissur,8,13081,40
89,13188,Ernakulam,9,13277,29
12,5658,Idukki,3,5670,7
24,8579,Kottayam,2,8603,22
46,6713,Alappuzha,4,6759,36
43,6616,Pathanamthitta,6,6659,25
53,8126,Kollam,3,8179,30
112,9860,Thiruvananthapuram,17,9972,48
1241,133413,Total,208,134654,670
