isolation,hospitalized_today,district,total_hospitalized,observation,active
2845,26,Kasaragod,676,3521,595
9388,43,Kannur,454,9842,515
2444,42,Wayanad,309,2753,310
10707,94,Kozhikode,734,11441,752
32613,133,Malappuram,834,33447,720
9988,47,Palakkad,456,10444,409
11685,113,Thrissur,531,12216,471
11313,180,Ernakulam,1008,12321,859
3907,36,Idukki,335,4242,355
8473,35,Kottayam,488,8961,574
6160,54,Alappuzha,753,6913,700
3762,82,Pathanamthitta,358,4120,476
7658,27,Kollam,690,8348,681
12208,380,Thiruvananthapuram,2546,14754,3078
133151,1292,Total,10172,143323,10495
