hospitalized_today,confirmed,deaths,isolation,observation,recovered,total_hospitalized,active,district
20,22179,75,7805,8126,20255,321,1845,Kasaragod
42,33336,159,20919,21426,30132,507,3039,Kannur
100,11409,25,8311,9145,9613,834,1771,Wayanad
196,70384,204,24064,25655,64758,1591,5414,Kozhikode
118,74464,235,83312,84568,66677,1256,7542,Malappuram
109,39484,82,14893,15988,34289,1095,5109,Palakkad
212,61003,254,25265,26950,54303,1685,6440,Thrissur
91,66950,235,27251,28582,58979,1331,7725,Ernakulam
56,12392,12,11404,11820,9733,416,2645,Idukki
228,37029,109,9036,10903,31788,1867,5130,Kottayam
172,48331,183,8275,9524,43905,1249,4225,Alappuzha
119,21170,18,9501,10359,18563,858,2588,Pathanamthitta
97,48549,175,14167,15033,44649,866,3717,Kollam
156,73369,563,31778,33158,68734,1380,4020,Thiruvananthapuram
1716,620049,2329,295981,311237,556378,15256,61210,Total
