district,deaths,recovered,active,total_hospitalized,isolation,confirmed,hospitalized_today,observation
Kasaragod,85,22556,1718,210,3762,24363,8,3972
Kannur,208,36799,3420,466,11813,40439,47,12279
Wayanad,50,14786,2612,375,8038,17449,37,8413
Kozhikode,302,82479,5042,880,19830,87838,93,20710
Malappuram,344,87239,4840,839,64548,92433,90,65387
Palakkad,135,43808,4736,518,9038,48686,40,9556
Thrissur,337,69629,5737,1134,21910,75712,120,23044
Ernakulam,318,76247,8998,1220,24678,85579,116,25898
Idukki,21,13993,3098,370,6538,17115,99,6908
Kottayam,156,45928,6585,1277,11840,52673,144,13117
Alappuzha,241,54177,3906,1021,5909,58345,134,6930
Pathanamthitta,58,25170,6598,1230,9407,31829,153,10637
Kollam,222,55561,4736,711,8919,60534,51,9630
Thiruvananthapuram,664,78872,3252,1118,19065,82857,109,20183
Total,3141,707244,65278,11369,225295,775852,1241,236664
