district,observation,isolation,deaths,hospitalized_today,recovered,total_hospitalized,active,confirmed
Kasaragod,5983,5767,93,11,24688,216,1894,26681
Kannur,13133,12603,259,62,43865,530,4143,48288
Wayanad,7277,6961,70,28,20258,316,3378,23707
Kozhikode,22185,21299,395,125,99462,886,6627,106505
Malappuram,21037,20573,387,98,102520,464,3708,106629
Palakkad,9795,9269,171,53,51659,526,3776,55615
Thrissur,21673,20741,395,114,83874,932,4571,88854
Ernakulam,27482,26069,391,176,99285,1413,10336,110038
Idukki,10143,9639,33,28,19052,504,4865,23955
Kottayam,17482,16265,184,352,62640,1217,6226,69056
Alappuzha,12232,11095,306,94,65456,1137,3791,69576
Pathanamthitta,14247,13440,92,73,39366,807,6449,45915
Kollam,11369,10598,266,97,70102,771,5358,75747
Thiruvananthapuram,24280,22996,754,161,89321,1284,3991,94143
Total,218318,207315,3796,1472,871548,11003,69113,944709
