total_hospitalized,district,confirmed,deaths,active,hospitalized_today,observation,recovered,isolation
474,Kasaragod,19168,71,2045,32,4512,17048,4038
914,Kannur,25999,112,4903,110,20361,20979,19447
624,Wayanad,7477,14,1033,91,8914,6430,8290
2585,Kozhikode,51116,147,8438,310,26902,42525,24317
1557,Malappuram,54139,154,8438,181,65012,45538,63455
1191,Palakkad,27948,57,6379,126,15602,21511,14411
2454,Thrissur,43106,140,10030,244,27754,32932,25300
2305,Ernakulam,49352,162,12169,311,31570,37010,29265
359,Idukki,7680,9,1665,35,12181,6004,11822
2217,Kottayam,25391,51,5441,259,20222,19898,18005
1319,Alappuzha,35432,106,7967,677,13296,27343,11977
869,Pathanamthitta,15810,12,2263,51,10145,13534,9276
1417,Kollam,36050,119,6151,219,17178,29774,15761
2678,Thiruvananthapuram,60978,433,8073,326,28414,52425,25736
20963,Total,459646,1587,84995,2972,302063,372951,281100
