confirmed,isolation,active,hospitalized_today,total_hospitalized,deaths,district,recovered,observation
26777,6006,1844,32,235,93,Kasaragod,24834,6241
48577,12874,4191,66,554,260,Kannur,44105,13428
23821,6610,3286,29,297,70,Wayanad,20464,6907
107181,20976,6463,95,859,397,Kozhikode,100300,21835
107118,20512,3472,122,486,388,Malappuram,103244,20998
55832,9296,3703,58,449,172,Palakkad,51948,9745
89335,20128,4611,99,945,397,Thrissur,84313,21073
110871,24708,10257,96,1363,392,Ernakulam,100196,26071
24224,9720,5018,28,490,33,Idukki,19168,10210
69506,14952,5847,337,1176,184,Kottayam,63469,16128
70135,10703,4037,110,1104,307,Alappuzha,65768,11807
46484,14022,6444,123,841,92,Pathanamthitta,39940,14863
76398,10444,5660,114,746,268,Kollam,70449,11190
94552,23173,4024,158,1311,760,Thiruvananthapuram,89691,24484
950811,204124,68857,1467,10856,3813,Total,877889,214980
