hospitalized_today,total_hospitalized,observation,isolation,district,active
35,195,10555,10360,Kasaragod,123
23,95,10276,10181,Kannur,47
1,7,10907,10900,Wayanad,3
14,32,21934,21902,Kozhikode,7
48,126,16522,16396,Malappuram,11
5,46,19325,19279,Palakkad,7
7,36,14219,14183,Thrissur,10
4,36,11878,11842,Ernakulam,18
1,8,3137,3129,Idukki,7
3,4,3265,3261,Kottayam,0
3,13,7979,7966,Alappuzha,2
0,19,7980,7961,Pathanamthitta,5
0,16,15935,15919,Kollam,5
30,101,17443,17342,Thiruvananthapuram,9
174,734,171355,170621,Total,254
