total_hospitalized,district,isolation,hospitalized_today,observation,active
801,Kasaragod,3231,65,4032,871
351,Kannur,9154,56,9505,398
411,Wayanad,2464,35,2875,370
715,Kozhikode,11785,109,12500,833
924,Malappuram,30288,83,31212,985
439,Palakkad,10508,58,10947,405
567,Thrissur,11411,87,11978,544
1204,Ernakulam,11253,135,12457,1135
321,Idukki,3820,27,4141,301
484,Kottayam,8912,44,9396,494
789,Alappuzha,5649,101,6438,806
460,Pathanamthitta,4128,55,4588,472
681,Kollam,8321,70,9002,572
2775,Thiruvananthapuram,13216,316,15991,3354
10922,Total,134140,1241,145062,11540
