total_hospitalized,observation,recovered,isolation,district,deaths,active,hospitalized_today,confirmed
1140,4588,8663,3448,Kasaragod,57,3750,61,12474
1379,15123,7743,13744,Kannur,57,6063,151,13866
782,3653,3037,2871,Wayanad,5,1073,46,4115
3598,28791,14147,25193,Kozhikode,76,9554,397,23783
2230,45047,19988,42817,Malappuram,81,6822,168,26898
1688,15711,8728,14023,Palakkad,39,5514,194,14282
2765,13549,9528,10784,Thrissur,59,7467,246,17054
2941,29736,12010,26795,Ernakulam,79,10693,207,22790
542,12066,3076,11524,Idukki,4,1249,55,4331
2680,20184,7659,17504,Kottayam,25,4975,214,12659
3588,13092,11693,9504,Alappuzha,52,5296,483,17046
1040,8504,6463,7464,Pathanamthitta,6,2473,130,8943
1752,18176,9643,16424,Kollam,62,7677,180,17386
4379,30226,26733,25847,Thiruvananthapuram,257,12274,432,39301
30504,258446,149111,227942,Total,859,84876,2964,234928
