observation,isolation,district,deaths,confirmed,recovered,active,total_hospitalized,hospitalized_today
4460,447,Kasaragod,71,19323,17088,2160,4013,36
20232,887,Kannur,115,26328,21525,4683,19345,86
9138,629,Wayanad,15,7591,6509,1067,8509,68
26921,2572,Kozhikode,147,51944,43369,8421,24349,305
65675,1497,Malappuram,159,54766,46391,8207,64178,188
15406,1187,Palakkad,59,28320,21835,6425,14219,118
27781,2554,Thrissur,141,44006,33964,9896,25227,340
31126,2285,Ernakulam,163,50101,38298,11629,28841,198
12783,385,Idukki,9,7796,6117,1668,12398,55
19356,2326,Kottayam,51,25870,20378,5440,17030,301
13619,1576,Alappuzha,108,36092,27864,8104,12043,778
10170,912,Pathanamthitta,12,16022,13898,2111,9258,123
18186,1458,Kollam,121,36573,30367,6078,16728,167
28066,2636,Thiruvananthapuram,442,61734,53047,8198,25430,248
302919,21351,Total,1613,466466,380650,84087,281568,3011
