recovered,observation,isolation,hospitalized_today,total_hospitalized,confirmed,district,active,deaths
22756,3924,3745,0,179,24448,Kasaragod,1601,87
37386,12435,12007,43,428,40824,Kannur,3215,211
15108,8613,8264,49,349,17703,Wayanad,2541,53
83507,20264,19365,116,899,88745,Kozhikode,4919,304
88256,20976,20234,92,742,93224,Malappuram,4610,347
44317,9135,8613,66,522,49080,Palakkad,4620,136
70826,23531,22445,96,1086,76609,Thrissur,5434,340
77397,26480,25125,146,1355,86680,Ernakulam,8942,325
14161,7042,6647,25,395,17335,Idukki,3149,22
47435,11808,10567,99,1241,53651,Kottayam,6054,158
54721,6826,5812,77,1014,58966,Alappuzha,3981,243
25897,10640,9580,64,1060,32604,Pathanamthitta,6642,61
56117,9595,8889,74,706,61152,Kollam,4793,227
79427,19721,18575,135,1146,83467,Thiruvananthapuram,3301,670
717311,190990,179868,1082,11122,784488,Total,63802,3184
