active,isolation,recovered,observation,district,total_hospitalized,confirmed,hospitalized_today,deaths
1898,6170,24879,6420,Kasaragod,250,26876,23,93
4089,12835,44459,13385,Kannur,550,48830,86,261
3095,6742,20818,7007,Wayanad,265,23984,31,70
6355,21190,101109,22026,Kozhikode,836,107887,98,402
3537,20489,103782,20964,Malappuram,475,107723,89,390
3719,9236,52151,9815,Palakkad,579,56051,130,172
4612,19710,84807,20659,Thrissur,949,89830,126,397
10169,24465,100998,25816,Ernakulam,1351,111585,163,392
4920,9568,19498,10057,Idukki,489,24456,50,33
5837,15352,63935,16511,Kottayam,1159,69964,233,186
3751,10320,66362,11438,Alappuzha,1118,70445,122,309
6498,14806,40407,15717,Pathanamthitta,911,47005,155,92
5267,10578,71230,11317,Kollam,739,76789,95,271
4048,23232,90107,24521,Thiruvananthapuram,1289,94996,139,764
67795,204693,884542,215653,Total,10960,956421,1540,3832
