confirmed,deaths,isolation,observation,hospitalized_today,total_hospitalized,active,recovered,district
12890,58,3404,4586,63,1182,3963,8865,Kasaragod
14411,59,13812,15160,140,1348,6355,7994,Kannur
4250,5,3210,3967,77,757,1106,3139,Wayanad
24519,76,26726,30206,345,3480,9662,14775,Kozhikode
27752,85,43551,45723,203,2172,7131,20529,Malappuram
14802,39,15043,16645,147,1602,5758,9004,Palakkad
17811,59,10821,13562,288,2741,7840,9908,Thrissur
23627,79,27891,30767,202,2876,11193,12347,Ernakulam
4387,4,11429,11924,23,495,1219,3162,Idukki
13086,28,17288,19838,172,2550,5038,8020,Kottayam
17470,53,10355,13587,112,3232,5417,11995,Alappuzha
9273,6,7532,8557,124,1025,2623,6643,Pathanamthitta
18231,67,16714,18339,173,1625,8032,10128,Kollam
40290,266,25927,30233,375,4306,12404,27583,Thiruvananthapuram
242799,884,233703,263094,2444,29391,87741,154092,Total
