hospitalized_today,recovered,district,isolation,confirmed,observation,active,total_hospitalized,deaths
216,17127,Kasaragod,67974,19460,69351,2258,1377,71
264,21918,Kannur,28625,26682,30870,4643,2245,116
255,6643,Wayanad,25702,7758,28250,1099,2548,16
291,44277,Kozhikode,25271,52707,27759,8275,2488,148
256,47571,Malappuram,24036,55527,26526,7785,2490,162
244,22162,Palakkad,18236,28784,20576,6563,2340,58
101,35006,Thrissur,19361,44957,20218,9800,857,146
166,39373,Ernakulam,16033,50774,17436,11220,1403,170
82,6221,Idukki,14586,7953,15770,1721,1184,9
535,21155,Kottayam,11968,26331,13758,5124,1790,51
40,28185,Alappuzha,12903,36735,13301,8425,398,109
88,14050,Pathanamthitta,9273,16205,10175,2142,902,12
95,30945,Kollam,8676,37244,9321,6170,645,122
36,53871,Thiruvananthapuram,4036,62351,4517,7983,481,450
2669,388504,Total,286680,473468,307828,83208,21148,1640
