isolation,district,hospitalized_today,recovered,active,deaths,observation,total_hospitalized,confirmed
7963,Kasaragod,23,20604,1827,77,8278,315,22512
20652,Kannur,67,30893,3051,164,21143,491,34114
9303,Wayanad,114,9980,2051,28,10198,895,12060
27499,Kozhikode,189,66371,5809,218,29058,1559,72406
86196,Malappuram,102,69348,7386,247,87438,1242,76991
13619,Palakkad,118,35535,5049,83,14656,1037,40671
22568,Thrissur,167,55540,6726,270,24337,1769,62543
11194,Ernakulam,21,60596,7723,245,11582,388,68575
27020,Idukki,114,9994,2926,12,28351,1331,12934
9688,Kottayam,267,33489,4945,117,11434,1746,38553
8046,Alappuzha,98,45472,3685,187,9223,1177,49362
9527,Pathanamthitta,111,19133,2585,19,10420,893,21738
14148,Kollam,95,46057,3402,183,14910,762,49652
32046,Thiruvananthapuram,157,69899,3759,568,33372,1326,74281
299469,Total,1643,572911,60924,2418,314400,14931,636392
