total_hospitalized,hospitalized_today,confirmed,district,active,observation,isolation,recovered,deaths
194,20,24525,Kasaragod,1638,3898,3704,22796,87
423,51,41043,Kannur,3172,12591,12168,37646,213
368,53,17913,Wayanad,2640,8356,7988,15218,54
882,84,89474,Kozhikode,5059,20395,19513,84092,308
708,66,93656,Malappuram,4618,21136,20428,88677,350
490,55,49335,Palakkad,4718,9077,8587,44470,140
1038,120,77111,Thrissur,5392,24102,23064,71368,341
1311,158,87748,Ernakulam,9061,26704,25393,78343,327
422,35,17606,Idukki,3294,7086,6664,14286,23
1206,247,54206,Kottayam,5873,11724,10518,48171,158
1068,123,59412,Alappuzha,4046,7089,6021,55100,245
1146,86,33270,Pathanamthitta,7133,10655,9509,26070,62
701,105,61700,Kollam,5055,9513,8812,56402,228
1181,149,83883,Thiruvananthapuram,3358,19759,18578,79782,673
11138,1352,790882,Total,65057,192085,180947,722421,3209
