hospitalized_today,total_hospitalized,isolation,district,observation,active
28,109,7084,Kasaragod,7193,104
39,439,23834,Kannur,24273,286
12,49,3549,Wayanad,3598,41
54,257,18523,Kozhikode,18780,126
51,429,37313,Malappuram,37742,301
32,211,11820,Palakkad,12031,172
23,222,17171,Thrissur,17393,189
25,270,13070,Ernakulam,13340,207
9,51,4100,Idukki,4151,53
10,107,7682,Kottayam,7789,116
7,232,6836,Alappuzha,7068,195
19,167,5176,Pathanamthitta,5343,174
11,165,10083,Kollam,10248,157
64,267,14075,Thiruvananthapuram,14342,131
384,2975,180316,Total,183291,2252
