recovered,observation,active,confirmed,deaths,total_hospitalized,isolation,hospitalized_today,district
9038,4732,4222,13322,58,1237,3495,125,Kasaragod
9182,15453,5769,15013,59,1389,14064,144,Kannur
3242,4058,1141,4388,5,782,3276,79,Wayanad
15364,30855,10649,26095,76,3762,27093,448,Kozhikode
21272,47015,7733,29102,90,2145,44870,229,Malappuram
9341,17342,6071,15452,39,1598,15744,173,Palakkad
10228,13756,8468,18759,59,2847,10909,307,Thrissur
12732,31319,12009,24828,79,2915,28404,310,Ernakulam
3251,12199,1249,4507,5,437,11762,38,Idukki
8473,19216,5075,13576,28,2398,16818,252,Kottayam
12388,13392,5695,18142,54,2981,10411,186,Alappuzha
6865,8636,2794,9666,6,938,7698,8,Pathanamthitta
10474,18941,8537,19083,68,1745,17196,250,Kollam
28403,30920,12752,41472,280,4329,26591,373,Thiruvananthapuram
160253,267834,92164,253405,906,29503,238331,2922,Total
