observation,hospitalized_today,confirmed,total_hospitalized,recovered,deaths,isolation,district,active
4591,33,19554,511,17337,71,4080,Kasaragod,2142
19341,82,26948,842,22231,123,18499,Kannur,4589
9542,72,7871,660,6749,16,8882,Wayanad,1106
26725,251,53678,2506,44926,149,24219,Kozhikode,8596
69525,194,56169,1430,48914,165,68095,Malappuram,7081
15925,107,29249,1171,22448,59,14754,Palakkad,6741
27877,344,45821,2516,35429,148,25361,Thrissur,10239
30366,172,51816,2277,40383,174,28089,Ernakulam,11248
13531,74,8061,422,6321,9,13109,Idukki,1729
19583,206,26831,2009,21767,52,17574,Kottayam,5011
14096,352,37431,1593,28734,112,12503,Alappuzha,8569
10158,88,16352,898,14246,15,9260,Pathanamthitta,2090
17586,186,37818,1421,31507,124,16165,Kollam,6180
28261,284,63070,2529,54632,451,25732,Thiruvananthapuram,7940
307107,2445,480669,20785,395624,1668,286322,Total,83261
