observation,deaths,isolation,district,active,total_hospitalized,confirmed,recovered,hospitalized_today
4101,87,3903,Kasaragod,1623,198,24611,22897,18
12749,217,12338,Kannur,2861,411,41194,38104,38
8603,54,8234,Wayanad,2628,369,18157,15474,47
20409,309,19533,Kozhikode,5021,876,89954,84609,90
21337,352,20669,Malappuram,4506,668,94091,89222,60
9047,140,8551,Palakkad,4747,496,49574,44680,49
24553,343,23489,Thrissur,5427,1064,77543,71763,155
26938,330,25550,Ernakulam,8619,1388,88411,79445,187
6064,23,5642,Idukki,3512,422,17889,14351,27
11589,158,10309,Kottayam,6039,1280,54721,48520,206
7359,247,6250,Alappuzha,3991,1109,59844,55585,144
10650,63,9406,Pathanamthitta,7101,1244,33784,26615,150
9506,231,8802,Kollam,5075,704,61993,56672,83
20465,680,19259,Thiruvananthapuram,3295,1206,84167,80122,125
193370,3234,181935,Total,64445,11435,795933,728059,1379
