district,observation,hospitalized_today,isolation,total_hospitalized,recovered,active,deaths,confirmed
Kasaragod,6910,15,6660,250,25038,1888,93,27025
Kannur,13764,49,13224,540,45066,3915,264,49266
Wayanad,6270,33,5999,271,21421,2880,73,24375
Kozhikode,23670,95,22908,762,102351,6463,411,109246
Malappuram,22799,107,22295,504,105023,3618,391,109046
Palakkad,10046,45,9494,552,52655,3609,172,56445
Thrissur,21540,85,20631,909,85656,4631,398,90699
Ernakulam,25630,128,24250,1380,102414,10208,393,113041
Idukki,9737,20,9287,450,20110,4680,35,24830
Kottayam,16087,276,14934,1153,65694,5228,187,71115
Alappuzha,12205,119,11097,1108,66985,3904,311,71223
Pathanamthitta,17499,111,16513,986,41031,6940,92,48071
Kollam,11795,81,11036,759,72107,5736,274,78138
Thiruvananthapuram,26707,106,25446,1261,91117,3950,773,95918
Total,224659,1270,213774,10885,896668,67650,3867,968438
