district,isolation,hospitalized_today,total_hospitalized,observation,active
Kasaragod,6924,6,113,7037,115
Kannur,24356,22,426,24782,299
Wayanad,3568,9,52,3620,41
Kozhikode,18217,61,254,18471,135
Malappuram,38578,44,469,39047,356
Palakkad,12078,23,186,12264,176
Thrissur,17376,20,220,17596,193
Ernakulam,13642,36,272,13914,209
Idukki,4513,6,55,4568,53
Kottayam,8191,9,114,8305,118
Alappuzha,6834,16,242,7076,210
Pathanamthitta,5053,37,170,5223,166
Kollam,10143,16,162,10305,162
Thiruvananthapuram,14069,73,299,14368,178
Total,183542,378,3034,186576,2411
