hospitalized_today,observation,total_hospitalized,district,isolation,active
147,4422,953,Kasaragod,3469,1017
48,9679,377,Kannur,9302,408
57,2921,430,Wayanad,2491,388
205,13463,865,Kozhikode,12598,1092
180,32500,1075,Malappuram,31425,1187
124,11733,539,Palakkad,11194,614
70,11673,628,Thrissur,11045,577
69,12260,1238,Ernakulam,11022,1197
36,4116,257,Idukki,3859,271
52,9330,435,Kottayam,8895,449
99,6949,970,Alappuzha,5979,911
79,5071,418,Pathanamthitta,4653,436
37,8023,628,Kollam,7395,548
367,17544,2841,Thiruvananthapuram,14703,3316
1570,149684,11654,Total,138030,12411
