deaths,recovered,observation,hospitalized_today,isolation,total_hospitalized,active,district,confirmed
60,9143,5358,134,4014,1344,4351,Kasaragod,13558
59,9569,15404,125,14028,1376,5759,Kannur,15390
5,3371,4044,109,3258,786,1143,Wayanad,4519
84,16477,31381,561,27817,3564,10216,Kozhikode,26783
90,22148,47204,243,45126,2078,7881,Malappuram,30126
39,9748,18242,215,16429,1813,5949,Palakkad,15737
59,10688,14279,296,11630,2649,8393,Thrissur,19144
80,13439,32036,526,29057,2979,11692,Ernakulam,25219
5,3320,12672,72,12207,465,1301,Idukki,4628
28,8848,18343,240,16392,1951,4931,Kottayam,13807
54,12845,13680,672,10420,3260,5555,Alappuzha,18459
6,7004,8698,213,7664,1034,2950,Pathanamthitta,9961
71,10733,18998,187,17307,1691,8772,Kollam,19580
290,29923,31100,473,26707,4393,11689,Thiruvananthapuram,41939
930,167256,271439,4066,242056,29383,90582,Total,258850
