deaths,confirmed,isolation,observation,hospitalized_today,total_hospitalized,active,district,recovered
71,19713,4340,4774,5,434,2149,Kasaragod,17489
127,27292,18278,19136,109,858,4791,Kannur,22369
17,7976,9088,9734,49,646,1105,Wayanad,6854
149,54253,2515,27240,261,24725,8346,Kozhikode,45751
168,56709,69873,71115,186,1242,6712,Malappuram,49820
59,29555,15188,16359,115,1171,6875,Palakkad,22620
157,46462,25270,27739,276,2469,10037,Thrissur,36263
175,52460,29405,31730,154,2325,11046,Ernakulam,41228
9,8240,13452,13903,56,451,1815,Idukki,6414
52,27237,18943,20931,275,1988,4794,Kottayam,22390
115,37910,13018,14483,343,1465,8574,Alappuzha,29205
15,16505,9313,10163,86,850,2013,Pathanamthitta,14476
125,38306,17210,18632,67,1422,6089,Kollam,32085
453,63491,26255,28745,237,2490,7478,Thiruvananthapuram,55513
1692,486109,272148,314684,2219,42536,81824,Total,402477
