isolation,district,total_hospitalized,observation,hospitalized_today,active
6709,Kasaragod,119,6828,14,111
24477,Kannur,397,24874,27,324
3561,Wayanad,56,3617,8,54
17282,Kozhikode,263,17545,60,146
38911,Malappuram,525,39436,71,389
12057,Palakkad,199,12256,35,193
16948,Thrissur,217,17165,17,205
13351,Ernakulam,283,13634,34,215
4822,Idukki,56,4878,1,72
8466,Kottayam,120,8586,8,136
6625,Alappuzha,246,6871,13,208
5176,Pathanamthitta,182,5358,30,170
9944,Kollam,139,10083,9,144
14080,Thiruvananthapuram,335,14415,94,238
182409,Total,3137,185546,421,2605
