recovered,district,isolation,deaths,observation,total_hospitalized,hospitalized_today,confirmed,active
20887,Kasaragod,6934,78,7201,267,16,22687,1718
31502,Kannur,19873,169,20382,509,90,34726,3049
10366,Wayanad,10746,29,11567,821,85,12648,2252
67973,Kozhikode,29834,228,31279,1445,149,73896,5686
71543,Malappuram,84589,257,85778,1189,103,78935,7125
36678,Palakkad,13262,83,14277,1015,111,41544,4778
57273,Thrissur,23067,285,24720,1653,188,63983,6418
61885,Ernakulam,26199,250,27532,1333,156,70098,7952
10241,Idukki,9716,13,10081,365,10,13210,2954
34614,Kottayam,11020,125,12689,1669,266,39947,5206
46508,Alappuzha,7494,195,8588,1094,92,50084,3363
19645,Pathanamthitta,9352,27,10250,898,48,22351,2678
46936,Kollam,13444,189,14168,724,73,50473,3337
70947,Thiruvananthapuram,30241,579,31423,1182,112,74989,3407
586998,Total,295771,2507,309935,14164,1499,649571,59923
