hospitalized_today,isolation,total_hospitalized,district,observation,active
35,10474,272,Kasaragod,10746,136
33,8468,106,Kannur,8574,50
1,11111,6,Wayanad,11117,1
8,19373,26,Kozhikode,19399,9
26,13984,83,Malappuram,14067,14
12,17473,37,Palakkad,17510,7
1,15699,26,Thrissur,15725,7
5,2985,26,Ernakulam,3011,8
1,4315,8,Idukki,4323,3
0,3205,0,Kottayam,3205,0
3,7720,12,Alappuzha,7732,3
1,7036,13,Pathanamthitta,7049,8
3,7925,10,Kollam,7935,7
24,5704,98,Thiruvananthapuram,5802,5
153,135472,723,Total,136195,258
