hospitalized_today,total_hospitalized,isolation,observation,district,active
5,106,6564,6670,Kasaragod,109
38,410,25134,25544,Kannur,319
14,66,3509,3575,Wayanad,58
44,300,16472,16772,Kozhikode,154
77,506,39200,39706,Malappuram,431
37,209,12401,12610,Palakkad,226
38,219,16229,16448,Thrissur,202
35,290,13586,13876,Ernakulam,213
28,75,5188,5263,Idukki,85
21,134,8896,9030,Kottayam,134
19,252,6438,6690,Alappuzha,224
26,192,4996,5188,Pathanamthitta,169
11,129,9719,9848,Kollam,145
78,373,14367,14740,Thiruvananthapuram,326
471,3261,182699,185960,Total,2795
