hospitalized_today,observation,district,isolation,total_hospitalized,active
63,4574,Kasaragod,3533,1041,997
73,9062,Kannur,8674,388,448
33,2798,Wayanad,2413,385,319
204,13880,Kozhikode,12930,950,1191
185,31894,Malappuram,30838,1056,1191
63,11807,Palakkad,11216,591,605
65,11636,Thrissur,11071,565,536
94,12106,Ernakulam,10878,1228,1158
22,3998,Idukki,3726,272,279
25,9836,Kottayam,9459,377,486
169,6969,Alappuzha,5949,1020,1050
38,4930,Pathanamthitta,4646,284,314
36,7732,Kollam,7155,577,560
208,18135,Thiruvananthapuram,15127,3008,3213
1278,149357,Total,137615,11742,12347
