recovered,total_hospitalized,deaths,date,hospitalized_today,active,district,isolation,observation,confirmed
21588,271,81,2020-12-18,17,1594,Kasaragod,6080,6351,23267
24562,257,93,2021-2-1,15,1844,Kasaragod,5806,6063,26505
3515,844,25,2020-8-31,83,1597,Kasaragod,5480,6324,5140
8176,1011,56,2020-10-2,134,3496,Kasaragod,3475,4486,11732
,103,,2020-6-7,10,96,Kasaragod,8141,8244,
16601,517,69,2020-11-2,30,2165,Kasaragod,4021,4538,18839
,113,,2020-7-7,6,115,Kasaragod,6924,7037,
,550,,2020-7-26,102,658,Kasaragod,3836,4386,
,109,,2020-6-26,6,106,Kasaragod,5754,5863,
,96,,2020-6-11,2,96,Kasaragod,9050,9146,
,129,,2020-7-11,17,141,Kasaragod,6287,6416,
24393,273,93,2021-1-30,30,1902,Kasaragod,5859,6132,26394
18951,429,74,2020-11-19,49,1785,Kasaragod,5897,6326,20814
13113,754,65,2020-10-19,53,3561,Kasaragod,3852,4606,16743
20255,321,75,2020-12-3,20,1845,Kasaragod,7805,8126,22179
,1,,2020-3-1,0,0,Kasaragod,14,15,
,13,,2020-3-20,4,8,Kasaragod,567,580,
,6,,2020-3-17,4,1,Kasaragod,333,339,
14025,812,65,2020-10-22,37,3210,Kasaragod,4019,4831,17304
19331,357,74,2020-11-22,24,1728,Kasaragod,6517,6874,21137
21095,277,78,2020-12-11,36,1691,Kasaragod,7145,7422,22868
,44,,2020-5-27,5,45,Kasaragod,4982,5026,
,37,,2020-4-27,8,14,Kasaragod,1986,2023,
,163,,2020-3-31,37,99,Kasaragod,7562,7725,
,260,,2020-4-10,12,130,Kasaragod,10461,10721,
,105,,2020-5-10,30,0,Kasaragod,965,1070,
,221,,2020-4-6,16,128,Kasaragod,10615,10836,
,19,,2020-5-6,5,3,Kasaragod,901,920,
23545,223,90,2021-1-16,33,1632,Kasaragod,6156,6379,25271
23808,258,92,2021-1-21,11,1694,Kasaragod,6142,6400,25599
