observation,isolation,active,hospitalized_today,total_hospitalized,date
206,193,0,9,13,2020-3-1
44390,44165,37,56,225,2020-3-20
18011,17743,24,65,268,2020-3-17
1116,967,4,85,149,2020-3-9
4180,3910,19,65,270,2020-3-12
469,438,0,11,31,2020-3-4
411,388,0,12,23,2020-3-3
10944,10655,21,68,289,2020-3-15
25603,25366,24,57,237,2020-3-18
1495,1236,14,120,259,2020-3-10
592,546,0,14,46,2020-3-6
732,648,3,14,84,2020-3-8
5468,5191,19,69,277,2020-3-13
547,508,0,10,39,2020-3-5
53013,52785,49,70,228,2020-3-21
12740,12470,24,72,270,2020-3-16
3313,3020,14,83,293,2020-3-11
637,574,0,20,63,2020-3-7
293,276,0,20,17,2020-3-2
7677,7375,19,106,302,2020-3-14
31173,30936,25,64,237,2020-3-19
